一个国家的诞生
忍无可忍
埃及艳后
米奇
奇迹先生
江水东流
启示录四骑士
罗宾汉
蓬车队
海鹰
战地之花
南海美人鱼
爵士歌手
毁灭之路
百老汇之歌
汤姆历险记
科学怪人
上海特快车
我不是天使
神秘的面纱
礼帽
茶花女
白雪公主
浮生若梦
乱世佳人
木偶奇遇记
约克军曹
小鹿斑比
名叫乔的家伙
相逢圣路易
圣玛丽亚的钟声
南方之歌
金耳环
万花锦绣
霸王妖姬
仙履奇缘
暴君焚城录
这就是新艺拉玛体
小飞侠
后窗
小姐与流氓
十诫
桂河大桥
南太平洋
宾汉
我爱金龟婿
101忠狗
阿拉伯的劳伦斯
埃及艳后
欢乐满人间
真善美
灵欲春宵
森林王子
妙女郎
虎豹小霸王
爱的故事
屋顶上的提琴手
教父
大法师
教父第二集
大白鲨
洛基
星际大战四部曲：曙光乍现
火爆浪子
洛奇续集
星际大战五部曲：帝国大反击
法柜奇兵
E.T.外星人
星际大战六部曲：绝地大反攻
魔鬼克星
回到未来
捍卫战士
致命的吸引力
雨人
圣战奇兵
第六感生死恋
魔鬼终结者2
阿拉丁
侏㑩纪公园
狮子王
终极警探3
ID4星际终结者
铁达尼号
世界末日
星际大战首部曲：威胁潜伏
不可能的任务2
哈利波特－神秘的魔法石
魔戒二部曲：双城奇谋
魔戒三部曲：王者再临
史瑞克2
哈利波特－火杯的考验
神鬼奇航2：加勒比海盗
神鬼奇航3：世界的尽头
黑暗骑士
阿凡达
玩具总动员3
哈利波特 死神的圣物2
复仇者联盟
冰雪奇缘
变形金刚4：绝迹重生
STAR WARS：原力觉醒
美国队长3：英雄内战
美女与野兽
